Course Name,Course Description,Course University,Course University Tag,Course Link,Course Provider,Course Duration,Course Pricing
Student Partner in Educational Research,The Student as Partners in Educational Research is an ongoing initiative sponsored by eSTEeM: The OU Centre for STEM Pedagogy whereby OU undergraduate or postgraduate students are supported to ...,The Open University,tou,/course/openlearn-science-maths-technology-student-partne-96126,OpenLearn,8 hours worth of material,Free Certificate
Succeed with maths: part 1,"If you feel that maths is a mystery that you want to unravel then this free course is for you. It will guide you through how numbers are put together, give you confidence with using percentages, ...",The Open University,tou,/course/openlearn-succeed-maths-part-1-content-section-ov-96127,OpenLearn,24 hours worth of material,Free Certificate
Superconductivity,"The fascinating phenomenon of superconductivity and its potential applications has attracted the attention of scientists, engineers and businessmen. Intense research has taken place to discover new...",The Open University,tou,/course/openlearn-engineering-technology-superconductivit-96129,OpenLearn,12 hours worth of material,Free Certificate
Surfaces,"Surfaces are a special class of topological spaces that crop up in many places in the world of mathematics. In this free course, you will learn to classify surfaces and will be introduced to such ...",The Open University,tou,/course/openlearn-mathematics-statistics-surfaces-96130,OpenLearn,20 hours worth of material,Free Certificate
Systems diagramming,"Please note: This course contains a Flash activity which is no longer playable. It is being updated. This course can still be studied, but you may like to postpone your study for now if you would ...",The Open University,tou,/course/openlearn-computing-ict-systems-diagramming-96131,OpenLearn,12 hours worth of material,Free Certificate
Laboratory Skills for Science,An OpenSTEM laboratory school providing you with 18 hours of ‘hands on’ experience with an introduction to several widely used techniques in chemistry and physics.&nbsp; Techniques include ...,The Open University,tou,/course/openlearn-science-maths-technology-laboratory-ski-96071,OpenLearn,18 hours worth of material,Free Certificate
Learn to code for data analysis,"This free course will teach you how to write your own computer programs, one line of code at a time. You'll learn how to access open data, clean and analyse it, and produce visualisations. You will...",The Open University,tou,/course/openlearn-learn-code-data-analysis-content-sectio-96072,OpenLearn,24 hours worth of material,Free Certificate
Learning from major cyber security incidents,"As a society, we are now almost always connected to the internet and rely on it for many different day-to-day activities. However, this dependency on the internet can make us vulnerable to ...",The Open University,tou,/course/openlearn-science-maths-technology-learning-major-96073,OpenLearn,8 hours worth of material,Free Certificate
"Learning, thinking and doing","How do we learn? Understanding how is the key to learning more effectively. This free course, Learning, thinking and doing, looks at the three main categories of theories: the acquisitive, ...",The Open University,tou,/course/openlearn-engineering-technology-learning-thinkin-96074,OpenLearn,16 hours worth of material,Free Certificate
Linear programming – the basic ideas,"This free course examines the formulation and solution of small linear programming problems. Section 1 deals with the formulation of linear programming models, describing how mathematical models of...",The Open University,tou,/course/openlearn-science-maths-technology-linear-program-96075,OpenLearn,16 hours worth of material,Free Certificate
"Machines, minds and computers","Computers are becoming smarter and may soon become intelligent. This free course, Machines, minds and computers, looks at what intelligence is, how computers may become so, and whether they ever ...",The Open University,tou,/course/openlearn-computing-ict-machines-minds-and-comput-96076,OpenLearn,10 hours worth of material,Free Certificate
The making of individual differences,"How do we become individuals? This free course, The making of individual differences, looks at how genes and the environment interact making each of us unique. Looking at the period between ...",The Open University,tou,/course/openlearn-biology-the-making-individual-differenc-96077,OpenLearn,12 hours worth of material,Free Certificate
Managing complexity: a systems approach,"Do you need to change the way you think when faced with a complex situation? Managing complexity: a systems approach, is a free course that examines how systemic thinking and practice enables you ...",The Open University,tou,/course/openlearn-computing-ict-managing-complexity-syste-96078,OpenLearn,20 hours worth of material,Free Certificate
Managing complexity: A systems approach – introduction,"Do you need to change the way you think when faced with a complex situation? This free course, Managing complexity: A systems approach  introduction, examines how systemic thinking and practice ...",The Open University,tou,/course/openlearn-computing-ict-managing-complexity-a-sys-96079,OpenLearn,75 hours worth of material,Free Certificate
Manufacturing,"How are designs turned into products? What resources, materials and methods are used and what set of activities goes under the heading of 'manufacturing'? This free course will introduce ...",The Open University,tou,/course/openlearn-design-innovation-manufacturing-96080,OpenLearn,20 hours worth of material,Free Certificate
Mathemateg bob dydd 1,"Bydd y cwrs rhad ac am ddim hwn yn datblygu ac yn gwella eich sgiliau mathemateg hanfodol ar gyfer gwaith, astudio a bywyd bob dydd. Mae gan y cwrs bedair sesiwn, sy'n ymdrin â'r pynciau canlynol: ...",The Open University,tou,/course/openlearn-mathemateg-pob-dydd-1-content-section-o-96081,OpenLearn,48 hours worth of material,Free Certificate
Mathemateg bob dydd 2,Bydd y cwrs rhad ac am ddim hwn yn adeiladu ar eich sgiliau mathemateg presennol ac yn eich helpu i deimlo'n fwy hyderus wrth fynd i'r afael â'r fathemateg rydych chi'n dod ar ei draws mewn ...,The Open University,tou,/course/openlearn-mathemateg-pob-dydd-2-content-section-o-96082,OpenLearn,48 hours worth of material,Free Certificate
Metric spaces and continuity,This free course contains an introduction to metric spaces and continuity. The key idea is to use three particular properties of the Euclidean distance as the basis for defining what is meant by a ...,The Open University,tou,/course/openlearn-science-maths-technology-metric-spaces--96083,OpenLearn,16 hours worth of material,Free Certificate
Microelectronic solutions for digital photography,"The human eye is a fascinating and complicated device, but how do digital cameras capture images? This free course, Microelectronic solutions for digital photography, examines one of the ...",The Open University,tou,/course/openlearn-engineering-technology-microelectronic--96084,OpenLearn,4 hours worth of material,Free Certificate
Microgravity: living on the International Space Station,"This free badged open course, Microgravity: living on the International Space Station, will help you to consider microgravity environments in more detail than before! You will make direct ...",The Open University,tou,/course/openlearn-microgravity-living-on-the-internationa-96085,OpenLearn,24 hours worth of material,Free Certificate
Modelling and estimation,"This free course is concerned with modelling and estimation and looks in particular at the binomial distribution. Section 1 starts by defining probability, introduces relevant notation and briefly ...",The Open University,tou,/course/openlearn-science-maths-technology-modelling-and--96086,OpenLearn,16 hours worth of material,Free Certificate
Modelling events in time,This free course develops ideas about probability and random processes. Sections 1 and 2 introduce the fundamental ideas of random processes through a series of examples. Section 3 describes a ...,The Open University,tou,/course/openlearn-science-maths-technology-modelling-even-96087,OpenLearn,16 hours worth of material,Free Certificate
Modelling object-oriented software – an introduction,"How do you model a software system? This free course, Modelling object-oriented software  an introduction, will help you to work through the processes necessary to produce a conceptual model, by ...",The Open University,tou,/course/openlearn-computing-ict-modelling-object-oriented-96088,OpenLearn,20 hours worth of material,Free Certificate
Models and modelling,"Models are mechanisms for communication. This free course, Models and modelling, looks at what a model is and what the process of modelling is about. The techniques discussed here are applicable to...",The Open University,tou,/course/openlearn-computing-ict-models-and-modelling-96089,OpenLearn,14 hours worth of material,Free Certificate
The molecular world,"From diamonds to dynamite, everything involves a chemical reaction. This free course, The molecular world, introduces you to the concepts and principles that underpin chemistry at the molecular ...",The Open University,tou,/course/openlearn-chemistry-the-molecular-world-96090,OpenLearn,20 hours worth of material,Free Certificate
The Moon,"As the only planetary body everyone is familiar with seeing in the sky, the Moon has long been an object of fascination and speculation. This free course will teach you about the nearest planetary ...",The Open University,tou,/course/openlearn-science-maths-technology-the-moon-96091,OpenLearn,6 hours worth of material,Free Certificate
Mosquito resistance to insecticides,Learn about how allele frequency can change rapidly in a population in response to selective pressure by considering how evolutionary change can occur in insects that are exposed to insecticides. ...,The Open University,tou,/course/openlearn-science-maths-technology-mosquito-resis-96093,OpenLearn,3 hours worth of material,Free Certificate
Natural intelligence,"One goal of artificial intelligence is to build machines that can operate in the real world, with all its noise and uncertainty. Much of what we want machines to do (see, recognise, navigate, move,...",The Open University,tou,/course/openlearn-computing-ict-natural-intelligence-96094,OpenLearn,10 hours worth of material,Free Certificate
Nucleic acids and chromatin,"This free course, Nucleic acids and chromatin, helps you to understand the properties of nucleotides and how they contribute to secondary and tertiary structures of nucleic acids at the molecular ...",The Open University,tou,/course/openlearn-biology-nucleic-acids-and-chromatin-96096,OpenLearn,12 hours worth of material,Free Certificate
Obesity: balanced diets and treatment,"The incidence of obesity is on the increase in affluent societies, and the phenomenon commands increasing attention from health professionals, legislators and the media. This free course, Obesity: ...",The Open University,tou,/course/openlearn-biology-obesity-balanced-diets-and-trea-96098,OpenLearn,15 hours worth of material,Free Certificate
Online Journal Club,Online Journal Clubs are currently being offered as part of a small project to students registered on a small number of second level biology related modules within The Open University. We are ...,The Open University,tou,/course/openlearn-science-maths-technology-online-journal-96099,OpenLearn,1 hour of material,Free Certificate
Online Summer School 2021,"An OpenSTEM online summer school providing you with an introduction to several analytical techniques in biology, chemistry and health science via the following online investigations.",The Open University,tou,/course/openlearn-science-maths-technology-online-summer--96100,OpenLearn,16 hours worth of material,Free Certificate
Studying mammals: The opportunists,"Many mammals are food specialists, with complex adaptations that gear them toward a particular food source. So how do the omnivores survive and prosper without these fancy evolutionary features? ...",The Open University,tou,/course/openlearn-natural-history-studying-mammals-the-op-95677,OpenLearn,10 hours worth of material,Free Certificate
Studying mammals: The social climbers,"Monkeys have long fascinated us because of their similarities to the human race. In this free course, Studying mammals: The social climbers, you will find out about some of the characteristics that...",The Open University,tou,/course/openlearn-natural-history-studying-mammals-the-so-95678,OpenLearn,10 hours worth of material,Free Certificate
Studying natural sciences bilingually,Thinking of studying a Natural Sciences course? Considering studying through the medium of Welsh and want to know what the benefits are? Not sure whether your Welsh is good enough? If you’re ...,The Open University,tou,/course/openlearn-science-maths-technology-studying-natur-95680,OpenLearn,1 hour of material,Free Certificate
‘Land grab’: an environmental issue?,"This free course, ‘Land grab’: an environmental issue?, explores how environmental problems are entangled with economic and political issues and offers tools for making sense of the complexity that...",The Open University,tou,/course/openlearn-nature-environment-land-grab-environmen-95992,OpenLearn,8 hours worth of material,Free Certificate
Achieving public dialogue,"There are a wide range of interactions between 'science' and 'the public'. Examples range from visiting a museum, or indulging in a science-related hobby, to reading a newspaper article about a ...",The Open University,tou,/course/openlearn-science-maths-technology-achieving-publ-95993,OpenLearn,16 hours worth of material,Free Certificate
Addiction and neural ageing,"This free course, Addiction and neural ageing,  takes its title from two topics that are of immense worldwide social, economic, ethical, and political importance. You will develop a Master's level ...",The Open University,tou,/course/openlearn-biology-addiction-and-neural-ageing-95994,OpenLearn,15 hours worth of material,Free Certificate
Additive manufacturing,"This free course, Additive manufacturing, introduces you to its key concepts. It covers the fundamentals of the additive manufacturing (AM) process, the steps involved in creating a model and ...",The Open University,tou,/course/openlearn-science-maths-technology-additive-manuf-95995,OpenLearn,8 hours worth of material,Free Certificate
Alcohol and human health,"What impact does alcohol have on the body? From a 'hangover' to cirrhosis this free course, Alcohol and human health, looks at the harmful effects of alcohol both in the short and long term.",The Open University,tou,/course/openlearn-biology-alcohol-and-human-health-95996,OpenLearn,6 hours worth of material,Free Certificate
Analytical science: secrets of the Mary Rose,"This free course, Analytical science: secrets of the Mary Rose, teaches you about the analytical techniques that are used in the research and investigation of historical objects using the case ...",The Open University,tou,/course/openlearn-science-maths-technology-analytical-sci-95997,OpenLearn,12 hours worth of material,Free Certificate
Astronomy with an online telescope,"This free course shows you how to navigate the night sky, and introduces the wide variety of objects it contains. You will develop a hands-on  understanding of telescopic observations using the ...",The Open University,tou,/course/openlearn-astronomy-online-telescope-content-sect-95998,OpenLearn,24 hours worth of material,Free Certificate
Bayesian statistics,This free course is an introduction to Bayesian statistics. Section 1 discusses several ways of estimating probabilities. Section 2 reviews ideas of conditional probabilities and introduces Bayes’ ...,The Open University,tou,/course/openlearn-science-maths-technology-bayesian-stati-95999,OpenLearn,12 hours worth of material,Free Certificate
BSE and vCJD: their biology and management,"The furore surrounding the so-called 'mad cow' diseases is an important and controversial episode of recent years. Although it peaked several years ago, the topic is still of great medical ...",The Open University,tou,/course/openlearn-biology-bse-and-vcjd-their-biology-and--96000,OpenLearn,15 hours worth of material,Free Certificate
Cell signalling,"This free course, Cell signalling, explains the general principles of signal transduction and specifically, how even the simplest organisms can detect and respond to events in their ever-changing ...",The Open University,tou,/course/openlearn-science-maths-technology-cell-signallin-96001,OpenLearn,12 hours worth of material,Free Certificate
Creating musical sounds,"Please note: This course contains several Flash activities which are no longer playable. These are being updated. This course can still be studied, but you may like to postpone your study for now...",The Open University,tou,/course/openlearn-engineering-technology-creating-musical-96002,OpenLearn,20 hours worth of material,Free Certificate
"Crossing the boundary: analogue universe, digital worlds","How does the computer's peculiar binary world of digital entities differ from our analogue world of colour, sound, taste and touch? This free course, Crossing the boundary: analogue universe, ...",The Open University,tou,/course/openlearn-computing-ict-crossing-the-boundary-ana-96003,OpenLearn,20 hours worth of material,Free Certificate
Data and processes in computing,"This free course, Data and processes in computing, will help you to understand the forms of data that are handled by software and look at the various processes that can be applied to the data. ...",The Open University,tou,/course/openlearn-computing-ict-data-and-processes-comput-96004,OpenLearn,14 hours worth of material,Free Certificate
The database development life cycle,"No idea how relational database systems are constructed? Did you know that they underpin the majority of the managed data storage in computer systems? This free course, The database development ...",The Open University,tou,/course/openlearn-computing-ict-the-database-development--96005,OpenLearn,4 hours worth of material,Free Certificate
Design,"This free course looks at the process of design, from assessing the complexity of design as an activity to exposing the difficulty in making general conclusions about how designers work. You will ...",The Open University,tou,/course/openlearn-design-innovation-design-96006,OpenLearn,28 hours worth of material,Free Certificate
Teaching assistants: support in action (Chinese),本免费课程是“助教：提供行动支持”课程的中文翻译版本，英文原版也在本网站中提供。 This free course is the Chinese version of Teaching assistants: support in action which is also available in English.,The Open University,tou,/course/openlearn-education-teaching-assistants-support-a-95697,OpenLearn,4 hours worth of material,Free Certificate
Teaching assistants: support in action (Wales),Teaching assistants are an important resource in education. This unit looks at how the role has developed across the UK over time and particularly in Wales. It explores the skills and attributes ...,The Open University,tou,/course/openlearn-education-careers-teaching-assistants-s-95698,OpenLearn,4 hours worth of material,Free Certificate
Teaching citizenship: work and the economy,"The issue of 'citizenship, work and the economy' is often neglected in everyday discussions of citizenship. But a moment's reflection should demonstrate how important it is. The vast majority of us...",The Open University,tou,/course/openlearn-education-development-teaching-citizens-95699,OpenLearn,10 hours worth of material,Free Certificate
Teaching mathematics,"This free course, Teaching mathematics, has been designed for non-specialist mathematics teachers of 8 to 14 year olds, teaching assistants, home schoolers and parents and draws on the ...",The Open University,tou,/course/openlearn-teaching-mathematics-content-section-ov-95700,OpenLearn,24 hours worth of material,Free Certificate
Teaching secondary geography,"This free course, Teaching secondary geography, will identify and explore some of the key issues around teaching geography in secondary schools. Through coming to understand these issues and ...",The Open University,tou,/course/openlearn-education-development-teaching-secondar-95701,OpenLearn,11 hours worth of material,Free Certificate
Teaching secondary mathematics,"This free course, Teaching secondary mathematics, will identify and explore some of the key issues around teaching mathematics in secondary schools. Through coming to understand these issues and ...",The Open University,tou,/course/openlearn-education-teaching-secondary-mathematic-95702,OpenLearn,11 hours worth of material,Free Certificate
Teaching secondary modern foreign languages,"This free course, Teaching secondary modern foreign languages, will identify and explore some of the key issues around teaching modern foreign languages in secondary schools. Through coming to ...",The Open University,tou,/course/openlearn-education-development-teaching-secondar-95703,OpenLearn,11 hours worth of material,Free Certificate
Teaching secondary music,"This free course, Teaching secondary music, will identify and explore some of the key issues around teaching music in secondary schools. Through coming to understand these issues and debates, you ...",The Open University,tou,/course/openlearn-education-development-teaching-secondar-95704,OpenLearn,11 hours worth of material,Free Certificate
Teaching secondary science,"This free course, Teaching secondary science, will identify and explore some of the key issues around science pedagogy in secondary schools. Through coming to understand these issues and debates, ...",The Open University,tou,/course/openlearn-education-development-teaching-secondar-95705,OpenLearn,11 hours worth of material,Free Certificate
Teaching Spanish pronunciation,Welcome to this free course Teaching Spanish pronunciation.This short course is aimed at teachers of Spanish working in the United Kingdom who wish to extend their theoretical knowledge on teaching...,The Open University,tou,/course/openlearn-teaching-spanish-pronunciation-content--95706,OpenLearn,15 hours worth of material,Free Certificate
Teamwork: an introduction for school governors (Wales),This course will introduce you to the importance of teams and partnership in an educational context. This Badged Open Course is part of a collection of training resources for school governors in ...,The Open University,tou,/course/openlearn-teamwork-introduction-school-governors--95707,OpenLearn,5 hours worth of material,Free Certificate
Who counts as a refugee?,"The words 'refugee' and 'asylum seeker' have a wide variety of connotations in Britain, many of them negative. This free course, Who counts as a refugee?, explores how changing social policy and ...",The Open University,tou,/course/openlearn-geography-who-counts-refugee-95740,OpenLearn,10 hours worth of material,Free Certificate
Why study languages?,"Learning languages and finding out about other countries can be fun, as well as useful, and this free course, Why study languages?, is an introduction to the differences in culture and language ...",The Open University,tou,/course/openlearn-languages-why-study-languages-95741,OpenLearn,5 hours worth of material,Free Certificate
Why teach art?,"What value does art have in the school curriculum? The answer is provided by this free course, Why teach art?  Aimed primarily at colleagues teaching art in schools, it explores the justification ...",The Open University,tou,/course/openlearn-education-development-why-teach-art-95742,OpenLearn,6 hours worth of material,Free Certificate
Working in diverse teams,"This free badged course, Working in diverse teams, will help you consider your experience of working in teams and the different roles you play in them. It will increase your confidence in marketing...",The Open University,tou,/course/openlearn-working-diverse-teams-content-section-o-95743,OpenLearn,24 hours worth of material,Free Certificate
Working in groups and teams,"This free course, Working in groups and teams, explores team working from start to finish. It looks at how successful teams are created, roles within a team, the life cycle of a team, how to manage...",The Open University,tou,/course/openlearn-leadership-management-working-groups-an-95744,OpenLearn,8 hours worth of material,Free Certificate
Working in the voluntary sector,"This free online course, Working in the voluntary sector, will introduce you to some of the main activities carried out by volunteers and staff, will give you some background on how different ...",The Open University,tou,/course/openlearn-working-the-voluntary-sector-content-se-95745,OpenLearn,24 hours worth of material,Free Certificate
"Working with charts, graphs and tables","When you come across information represented in charts, graphs and tables, you'll need to know how to interpret this information. This free course, Working with charts, graphs and tables, will help...",The Open University,tou,/course/openlearn-mathematics-statistics-working-charts-g-95746,OpenLearn,15 hours worth of material,Free Certificate
Working with diversity in services for children and young people,"This free course, Working with diversity in services for children and young people, will provide you with an understanding of the ways in which diverse and intersecting social identities structure ...",The Open University,tou,/course/openlearn-education-development-working-diversity-95747,OpenLearn,8 hours worth of material,Free Certificate
Working with young people: roles and responsibilities,"In this free course, Working with young people: roles and responsibilities, we look at the roles that are taken when working with young people. We focus on what those working with young people ...",The Open University,tou,/course/openlearn-education-careers-working-young-people--95748,OpenLearn,12 hours worth of material,Free Certificate
Workplace learning with coaching and mentoring,"In this free course, Workplace learning with coaching and mentoring, you will  consider theoretical and practical issues   in planning and managing learning and talent development programmes in ...",The Open University,tou,/course/openlearn-money-business-workplace-learning-coach-95749,OpenLearn,9 hours worth of material,Free Certificate
The world of the primary school,"Primary education is a dynamic and exciting area to study and become involved in. This free course, The world of the primary school, introduces the various members of a primary school community, ...",The Open University,tou,/course/openlearn-education-development-the-world-the-pri-95750,OpenLearn,8 hours worth of material,Free Certificate
Writing what you know,"Do you want to improve your descriptive writing? This free course, Writing what you know, will help you to develop your perception of the world about you and enable you to see the familiar things ...",The Open University,tou,/course/openlearn-creative-writing-writing-what-you-know-95751,OpenLearn,8 hours worth of material,Free Certificate
You and your money,"An important aspect of personal finance is the way in which individuals and households manage their debt, how much it costs and the different types of credit they can or cannot access. This free ...",The Open University,tou,/course/openlearn-personal-finance-you-and-your-money-95752,OpenLearn,12 hours worth of material,Free Certificate
Young lives: is now a good time to be young?,"This free course, Young lives: is now a good time to be young?, looks at young lives in the UK today, asking the question is this a good time to be young? It focuses on some of the factors that ...",The Open University,tou,/course/openlearn-education-development-young-lives-now-g-95753,OpenLearn,6 hours worth of material,Free Certificate
Young people and religion: creative learning with history,"This free course, Young people and religion: creative learning with history, will train teachers and others working with young people on how to engage them in learning about religious diversity ...",The Open University,tou,/course/openlearn-young-people-and-religion-creative-lear-95754,OpenLearn,12 hours worth of material,Free Certificate
"Youth justice in the UK: children, young people and crime",This free course will introduce you to the many ways of working with children in trouble with the law. You will learn about the emergence of the youth justice system in England and Wales and how...,The Open University,tou,/course/openlearn-youth-justice-the-uk-children-young-peo-95755,OpenLearn,24 hours worth of material,Free Certificate
Aberdulais Falls: a case study in Welsh heritage,"This free course, Aberdulais Falls: a case study in Welsh heritage, looks at the Aberdulais Falls in Wales, and considers the key issues affecting the decision-making of the bodies which are ...",The Open University,tou,/course/openlearn-history-aberdulais-falls-case-study-wel-95756,OpenLearn,2 hours worth of material,Free Certificate
The Ancient Olympics: bridging past and present,"This free course, The Ancient Olympics: bridging past and present, highlights the similarities and differences between our modern Games and the Ancient Olympics and explores why today, as we ...",The Open University,tou,/course/openlearn-history-the-arts-the-ancient-olympics-b-95757,OpenLearn,5 hours worth of material,Free Certificate
Art and the Mexican Revolution,"In this free course, Art and the Mexican Revolution, you will explore one of Diego Rivera’s key murals which was commissioned by the Mexican government in the period after the Mexican Revolution of...",The Open University,tou,/course/openlearn-history-the-arts-art-and-the-mexican-re-95758,OpenLearn,7 hours worth of material,Free Certificate
Diagramming for development 2: exploring interrelationships,"Diagramming for development 2: exploring interrelationships, is a free course that introduces you to the diagramming techniques of Influence diagrams, Multiple Cause Diagrams and Cognitive Maps. ...",The Open University,tou,/course/openlearn-computing-ict-diagramming-development-2-95425,OpenLearn,4 hours worth of material,Free Certificate
"Diagrams, charts and graphs","Diagrams, charts and graphs are used by all sorts of people to express information in a visual way, whether it's in a report by a colleague or a plan from your interior designer. This free course ...",The Open University,tou,/course/openlearn-mathematics-statistics-diagrams-charts--95426,OpenLearn,5 hours worth of material,Free Certificate
Difference and challenge in teams,This free course looks at how teams ‘travel’ together on a journey of development. Those journeys are hardly ever smooth. The course encourages you to recognise difference and challenge amongst ...,The Open University,tou,/course/openlearn-leadership-management-difference-and-ch-95427,OpenLearn,2 hours worth of material,Free Certificate
Different types of business,A small grocery store run by one person and perhaps their family must pose quite different challenges from a multinational corporation with operations in many different countries. This free course ...,The Open University,tou,/course/openlearn-business-strategy-studies-different-typ-95428,OpenLearn,3 hours worth of material,Free Certificate
The digital scholar,"Digital scholarship is a shorthand for the intersection of three technology related developments: digital content, networked distribution and open practices. It is when digital, networked and open ...",The Open University,tou,/course/openlearn-the-digital-scholar-content-section-ove-95429,OpenLearn,24 hours worth of material,Free Certificate
Digital skills: succeeding in a digital world,"This free course, Digital skills: succeeding in a digital world, will develop your confidence and skills for life online, whether study, work or everyday life. It explores a range of digital skills...",The Open University,tou,/course/openlearn-digital-skills-succeeding-digital-world-95430,OpenLearn,24 hours worth of material,Free Certificate
Discovering Ancient Greek and Latin,"The free course,  Discovering Ancient Greek and Latin, gives a taste of what it is like to learn two ancient languages. It is for those who have encountered the classical world through translations...",The Open University,tou,/course/openlearn-history-the-arts-discovering-ancient-gr-95431,OpenLearn,12 hours worth of material,Free Certificate
Discovering chemistry,"Chemistry lies at the centre of our modern life, playing a part in areas as diverse as the development of new drugs and materials, analysing our environment through to more mundane activities such ...",The Open University,tou,/course/openlearn-discovering-chemistry-content-section-o-95432,OpenLearn,24 hours worth of material,Free Certificate
Discovering computer networks: hands on in the Open Networking Lab,"Have you ever wondered how the internet gets into your home, school, college or workplace? How do all the computers, phones, tablets, printers and other devices connect and work together? In this ...",The Open University,tou,/course/openlearn-discovering-computer-networks-hands-on--95433,OpenLearn,24 hours worth of material,Free Certificate
Discovering disorder: young people and delinquency,"This free course, Discovering disorder: young people and delinquency, will introduce two approaches to understanding juvenile delinquency. The psychological approach focuses on examining what makes...",The Open University,tou,/course/openlearn-society-politics-law-discovering-disord-95434,OpenLearn,8 hours worth of material,Free Certificate
Discovering management,"This free course, Discovering management, introduces you to the role of the manager. It covers management activities looking at leadership, human resources, finance, project management, change ...",The Open University,tou,/course/openlearn-leadership-management-discovering-manag-95435,OpenLearn,15 hours worth of material,Free Certificate
Discovering music: the blues,"This free course,&nbsp;Discovering music: the blues,&nbsp;will introduce you to a musical tradition with roots in the nineteenth century but which is still relevant to making music today. You will learn ...",The Open University,tou,/course/openlearn-history-the-arts-discovering-music-the--95436,OpenLearn,6 hours worth of material,Free Certificate
Dysgu ac arfer: gweithrediad a hunaniaethau,"Mae'r uned hon yn eich cyflwyno i ddull cymdeithasol-ddiwylliannol o ddeall a dadansoddi'r hyn y byddwch yn ei ddysgu mewn sefydliadau addysgol, gartref ac yn y gweithle.",The Open University,tou,/course/openlearn-education-dysgu-ac-arfer-gweithrediad-h-95438,OpenLearn,8 hours worth of material,Free Certificate
Early years team work and leadership,"This free course, Early years team work and leadership, explores aspects of teamwork and leadership for early years practitioners.",The Open University,tou,/course/openlearn-childhood-youth-early-years-team-work-a-95439,OpenLearn,8 hours worth of material,Free Certificate
Beginners’ German: food and drink,"This free course, Beginners' German: food and drink, provides materials that support the development of listening, reading, writing and speaking skills. The content focuses on food, restaurants and...",The Open University,tou,/course/openlearn-languages-beginners-german-food-and-dri-95375,OpenLearn,6 hours worth of material,Free Certificate
Intermediate Spanish: A trip across Latin America,"In this free course you will embark on a journey off the beaten track, to see the natural wonders of Latin America and some of its people. Intermediate Spanish: A trip across Latin America ...",The Open University,tou,/course/openlearn-languages-intermediate-spanish-trip-acr-95519,OpenLearn,8 hours worth of material,Free Certificate
Intermediate Spanish: Understanding spoken Spanish,"Welcome to this free course, Intermediate Spanish: Understanding spoken Spanish, which is aimed at intermediate learners of Spanish with an interest in language and culture. The six-hour course is ...",The Open University,tou,/course/openlearn-languages-intermediate-spanish-understa-95520,OpenLearn,6 hours worth of material,Free Certificate
Internships and other work experiences,"In this free course, Internships and other work experiences, you’ll begin by learning more about what an internship is and how it might differ from other forms of work experience. You’ll find out ...",The Open University,tou,/course/openlearn-internships-and-other-work-experiences--95521,OpenLearn,24 hours worth of material,Free Certificate
Interpreting data: Boxplots and tables,"This free course, Interpreting data: Boxplots and tables, is concerned with two main topics. In Section 1, you will learn about another kind of graphical display, the boxplot. A boxplot is a fairly...",The Open University,tou,/course/openlearn-mathematics-statistics-interpreting-dat-95522,OpenLearn,16 hours worth of material,Free Certificate
Introducing consciousness,"What is consciousness? How does the brain generate consciousness and how can a science of the mind describe and explain it adequately? This free course, Introducing consciousness, will introduce ...",The Open University,tou,/course/openlearn-philosophy-introducing-consciousness-95523,OpenLearn,20 hours worth of material,Free Certificate
Introducing ethics in Information and Computer Sciences,"Although ethics is often viewed as an academic specialism or an add-on to training programmes in technology and science, it is in fact an area of the utmost relevance to professionals and, indeed, ...",The Open University,tou,/course/openlearn-education-introducing-ethics-informatio-95524,OpenLearn,40 hours worth of material,Free Certificate
Introducing Homer's Iliad,"This free course, Introducing Homer's Iliad, focuses on the epic poem telling the story of the Trojan War. It begins with the wider cycle of myths of which the Iliad was a part. It then looks at ...",The Open University,tou,/course/openlearn-history-the-arts-introducing-homers-ili-95525,OpenLearn,6 hours worth of material,Free Certificate
Introducing ICT systems,"Information and communication technologies (ICTs) systems now dominate our everyday lives. This free course, Introducing ICT systems, will explain what constitutes such a system and how ICT systems...",The Open University,tou,/course/openlearn-computing-ict-introducing-ict-systems-95526,OpenLearn,9 hours worth of material,Free Certificate
Introducing mammals,"Mammals come in a bewildering variety of shapes and sizes, and yet all species have some characteristics in common. These similarities justify the inclusion of all such diverse types within the ...",The Open University,tou,/course/openlearn-nature-environment-introducing-mammals-95527,OpenLearn,5 hours worth of material,Free Certificate
Introducing philosophy,"Ever wondered what it would be like to study philosophy? This free course, Introducing philosophy, will introduce you to the teaching methods employed and the types of activities and assignments ...",The Open University,tou,/course/openlearn-philosophy-introducing-philosophy-95528,OpenLearn,8 hours worth of material,Free Certificate
Introducing the Classical world,"How do we learn about the world of the ancient Romans and Greeks? This free course, Introducing the Classical world, will provide you with an insight into the Classical world by introducing you to ...",The Open University,tou,/course/openlearn-classical-studies-introducing-the-class-95529,OpenLearn,20 hours worth of material,Free Certificate
Introducing the environment: Ecology and ecosystems,"What is ecology and why is it important to our understanding of the world around us? This free course, Introducing the environment: Ecology and ecosystems, looks at how we can study ecosystems to ...",The Open University,tou,/course/openlearn-environmental-studies-introducing-the-e-95530,OpenLearn,5 hours worth of material,Free Certificate
Introducing the philosophy of religion,"In this free course, Introducing the philosophy of religion, Timothy Chappell, Professor of Philosophy, asks what the words 'God' and 'religion' mean, and what it means to ask philosophical ...",The Open University,tou,/course/openlearn-religious-studies-introducing-the-philo-95531,OpenLearn,12 hours worth of material,Free Certificate
